0,
jong merk,=
neutraal,=
saai,-
redelijk prijzig maar wel kwalitatief goed,+
"leuke kleding, helaas buiten mijn budget",=
"duur, maar zit lekker en redelijk goede kwaliteit",+
meestal leuke kleding,+
is wel ok,+
duur,-
Saai,-
niet sportief en ook niet netjes,-
duur en valt klein uit,-
1,
geen idee,=
"vlot, goed spul en goede pasvorm",+
is niet altijd op mijn lichaam gemaakt,-
Zeer goede kwaliteit kleding. Kleurecht.,+
goede kwaliteit/prijs,+
Leuke kleding,+
goed en niet duur,+
heb ik zelf veel van,=
Doet me niks.,=
truttig en beetje duur,-
2,
leuke kleding,+
"betaalbaar merk, mooie kleding",+
zit vaak goed,+
ballerig,=
goede kleding,+
Erg getailleerd en beetje prijzig,-
"gewoon, modern, jong",=
leuke kleding,+
Hou ik van,+
redelijke prijs/kwaliteitverhouding,+
voor m'n dochter,=
3,
modieus,=
Slaag ik bijna altijd voor leuke kleding,+
van alles wat,=
te duur,-
Esprit heeft vaak leuke kleding,+
"draag ik, fijn spul",+
onnodig duur,-
"mooie, maar weinig opvallende kleding",+
leuke mode,+
"goede kwaliteit, redelijke prijs",+
vaak goeie lange mouwen,-
weinig beeld van,=
geen grote maten,=
4,
vaak originele kleding,+
modern en goed,+
wat mijn vrouw koopt bevalt,+
prettige kleding,+
"leuke kleding, goede pasvorm",+
mooie kleding,+
verfijnde kleding,+
prettig,+
leuk,+
"idem, leuke kleiding",+
goed merk,+
leuk,+
Goede mode,+
leuk maar niet in mij maat,+
Matig,=
