0,
hele dure sportschoenen die binnen een jaar kapot zijn,-
gaat lang mee,+
topmerk!,+
Asociaal,-
sport,=
sportief,+
Goede stevig sportmerk,+
de producten zijn zover ik weet van goede kwaliteit,+
goed sportmerk,+
Goede kwaliteit,+
Geen grote maten,+
bekend,+
"oude bekende, steeds innovatief",+
staat bekend om slavenarbeid,-
Goede kwaliteit,+
Te sportief,-
Goede kwaliteit.,+
Draag ik regelmatig (schoenen),=
veel kinderarbeid (geweest),-
zeer marketing gericht,=
Mooie schoenen,+
kinderarbeid imago,-
Positief; een goed sportmerk,+
rijs/kwaliteit verhouding klopt niet altijd,-
sportief,+
mooie artikelen,+
goede kwaliteit,+
"altijd mooie kleding, goede kwaliteit",+
mooie spullen,+
sportief merk,+
mooi,+
Meer voor mannen,=
Duur,-
De beste schoenen,+
meer sport dan mogelijkheden tot casual dragen,=
goed sportmerk,+
Mooi en goed,+
goede kwaliteit,+
erg populair,=
Zit lekker,+
leuk,+
duur,-
Alleen leuk voor de sportkleding,+
goede kwaliteit,+
een goed merk met goede kwaliteit,+
duur,-
Stoer en duur,-
goede schoenen,+
"goede kwaliteit, wel duur",=
draag dit merk niet,=
