0,
goed,+
duur maar modern,-
Goed,+
meer voor kinderen,=
niet altijd mijn  smaak,=
gaat wel,=
niet het merk overal groot op,=
mooie kleding,+
modieus,+
degelijke en chique uitstraling,+
duur maar mooi,+
goede kwaliteit,+
1,
leuke kleding,+
Lekker gewoon,+
prima kleding,+
leuke kleding die prima voor werk is,+
koop het af en toe en bevalt goed,+
leuk ontwerp,+
te exclusief,-
fijne kleding,+
mooie kleding (vooral voor de kinderen),+
"leuke kleding, wel wat duur",+
2,
ervaring en indruk zijn prima,+
weet er te weinig van,=
goede kwaliteit,+
beetje tuttige kleding,-
geen ervaring mee,=
bekend maar meer voor kleine maten,=
casual chique,=
duur,-
"al jaren geen vrolijke, frisse collecties",-
"draag t zelf, maar wel duur",-
niets bijzonders,-
3,
goede kwaliteit,+
nog nooit geprobeerd,=
Ik ken ze,=
Saai,-
soms mooi en regelmatig kan ik er niets vinden.,=
niet zo spetterend,-
mooie pasvorm,+
Voor jongeren,=
kleding??,=
leuke kleding,=
"mooie kleding, maar toch prijzig",=
weinig beeld,=
veel te duur,-
4,
gewoontjes,=
wel eens gekocht,=
geen ervaring,=
prima,+
"mooi, iets te duur voor mij",=
Heeft een goede naam.,+
mooie kleding,+
alleen kleine maten,=
gaat,=
algemeen geaccepteerd merk,=
kleding draag ik graag,+
leuk,+
soms wel aardig,+
"mooie spullen, beetje saai",=
ook qua design e.d.,=
