0,
goed spel,+
sportief,+
"goede organisatie, al jaren goed",+
Goed presterend team,+
Louis van Gaal is de trainer?,=
Geweldige club in Engeland,+
Mooi engels voetbal,+
Arrogante spelers,-
"hoor er veel over, goede club",+
gemiddelde prestaties,=
voetbal vind ik niks,-
Goed elftal,+
"Mooi voetbal, mooi stadion, Rooney.",+
favoriete club,+
grote buitenlandse naam,=
in engeland? met wesley s.?,=
"aanvallend, maar volg niet erg",=
ken de naam,=
Grote club,=
van der Sar,=
beste club van GB,+
Doen goed mee in competitie,+
"Grote ploeg, die strijd voor het kampioenschap",+
Van der Sar!,=
wordt als goede club in de media weergegeven,+
goed team,+
"Mooi voetbal, ster spelers",+
Interesseert me niet,=
samen met barcelona een van de grootste voetbalclubs,+
Mooi voetbal,+
veel geld,=
europese topclub,+
engelse hooligans,=
goede club,+
effectief in wat ze doen,+
Fantastische sfeer,+
ik ben geen voetbal fan,-
leuk aanvallend voetbal fan,=
ik weet meer van regionale clubs..,=
Goede voetballers,+
goede ploeg,+
Indrukwekkende club,+
hooiligans,=
goed voetbal,+
goeie club,+
volgens mij zit  of zat van der Sar erbij,=
"engeland, heb ik weinig mee",-
weet er niet veel van,=
Patserig,-
voetbalt aan de top,=
