0,
leveren goede kwaliteit,+
sportief,+
"goede kwaliteit, vrij duur",+
fijn ondergoed,+
Kwalitatief,+
Leuke billboards,+
"ondergoed, betaalbaar, redelijke kwaliteit",+
mooie vormgeving,+
altijd vervelende reclames,-
allen prima merken,+
Degelijk,+
draag dit merk niet,=
1,
degelijk,+
gewone niets bijzonders,=
ondergoed van goede kwaliteit,+
goede kwaliteit,+
degelijk onderhoud,+
kwaliteit,+
"prima ondergoed, niks mis mee",+
Doet me niks.,=
Staan prachtig op mijn vriendin,+
ben geen vrouw,=
2,
kwaliteit,+
"Goede kwaliteit, comfortabel",+
goede kwaliteit,+
Goed ondergoed,+
kwaliteit,+
Zeer goede kwaliteit,+
Kwalitatief goed en redelijk betaalbaar,+
ken ik alleen van naam,=
mooi ondergoed,+
degelijk maar wel goed,+
nog nooit gekocht,=
3,
"zit heerlijk, blijft in vorm",+
goede kwaliteit ondergoed,+
goede kwaliteit,+
prettig zittend,+
Zit fantastisch!!,+
Goede pasvorm,+
kwaliteit,+
goed draagcomfort,+
"prettig merk, goede pasvormen",+
degelijk,+
goed product versus prijs,+
prettig zittende kleding,+
ken het alleen van naam,=
4,
goede prijs/kwal. verhouding,+
goede pasvorm,+
goede kwaliteit,+
zal wel goed zijn,+
Goede pas vorm,+
is niet mijn merk,-
goede pasvorm,+
zit lekker,+
Beetje duur voor saaie oudewetse ondergoed,-
lekker,+
zit lekker,+
zit heerlijk,+
zit lekker,+
Gebruik ik zelf,=
Ik ken alle merken,=
