0,
goede grapics en werkt goed,+
echt voor mannen,=
mooie graphics,+
Leuke spelletjes,+
PErfecte spelcomputer en niet te duur in de aanschaf,+
"wie wil iets wat microsoft maakt, troep moet je vermijden",-
het gaat,=
meer van hetzelfde,=
nog nooit op gespeeld,=
"Nooit gehad, niet echt bekend mee",=
dansspel,=
schijnt slechte hardware te zijn,-
1,
geen idee,=
"mooie games, mooi product",+
Goed,+
mijn zoontje heb er veel plezier van,+
"voor de liefhebber, eenmaal gewend altijd fan",+
duur,-
nadeel het is van microsoft,-
geen geld voor,=
lijkt me wel een goed merk,+
ik houd er niet van,-
2,
Heet en lawaaiig,-
"geweldige spelcomputer, veel mogelijkheden",+
zie ps3,=
wat minder dan wii,=
goed,+
geen idee,=
al die vreselijke vechtspellen,-
microsoft moet zich schamen om zoiets te bouwen,-
Alleen maar vechten,=
krijgt telkens aanpassingen,=
innovatief,+
3,
kinderachtig,-
heb ik en speel ik leuk mee,+
ken ik,=
divers,+
zou er graag 1 hebben,+
"voetbal, karaoke, zie ik thuis wel's bij de kinderen",=
Heel mooi spellenapparaat!,+
mooie snelle spellen,+
schijnt nogal vernielzuchtig te zijn,-
nooit van gehoord,=
te duur,-
intrigerende spellen,+
geen idee,=
4,
hou er niet van,-
niet,=
"veel schietspelen, niets voor mij",-
Bij mijn klein kinderen gezien,=
ken ik niet,=
niet echt goed mee bekend,=
weet niet,=
leuke spelletjes,+
Ik verkies buiten te zijn,=
geen idee,=
heb ik nog nooit gekocht,=
weet niks van,=
onbekend,=
maar ik heb er niets mee,=
Goed,+
