0,
te vaak en te veel discriminerend,-
Persoon + standpunt -,=
"roept veel, soms goed soms onzin",=
"Goede punten, alleen teveel op moslims gericht",-
gewoon een eikel,-
"nare ideeen, slecht beleid",-
"Beetje extreem, maar draagt goede punten",+
ik ben het niet met zijn mening eens,-
betoog vol drogredenen,-
Onmenselijk. Bah. Egoist.,-
racist,-
Ik ben het niet met deze man eens,-
1,
het blijft een mafkees met goede marketiting,-
"is media geil, schreeuwt veel doet weinig",-
"Rat, varkenskop, onbetrouwbaar uiterlijk",-
te extreme uitspraken,-
maakt gebruik van het fenomeen zondebok,=
top man weet wat nederland wil,+
ben het vaak wel met hem eens.,+
Verkeerde manier van zijn mening uiten,-
Schande voor Nederland,-
vreselijke ideeen en stijl,-
2,
standvastig,+
geen,=
Vriendelijke man maar idiote ideeen,-
"leugenaar,volksmenner, erger dan Janmaat",-
Helemaal niks,=
Controversieel. Roept makkelijk dingen,=
weet niet wat je aan hem hebt,-
"grote mond, wel slim gespeeld",=
Lekker duidelijk,+
niet mijn politiek,-
rechtvaardig,+
3,
enge ideeën,-
sterke persoonlijkheid,+
te polariserend,-
demagoog,=
te radicaal,-
haat zaaier,-
te extreem,-
zegt wat velen denken,=
"is populist, gebruikt misstanden om er z",-
verschrikkelijke politicus,-
hele gevaarlijke met gevaarlijke ideeen,-
"niet qua persoon, maar qua programma",=
"duidelijke taaal, weet wat hij wil",+
4,
splijting bevolkingsgroepen,=
maakt Nederland kapot,-
geen mening,=
afschuwelijk beleid,-
goede ideen,+
vermomde dictator,-
legt vinger op de zere plek,+
"de nieuwe Hitler, gevaarlijke gek",-
"slechte ideeen, te handig",-
enge man met fascistische ideeen,-
te veel onderbuik,-
negatieve benadering van problemen,-
zegt waar hij voor staat,=
"negatief, niet opbouwend",-
verwoord standpunten m.i. agressief,-
