0,
vervelende naam,-
Stabiele man die fouten toegeeft,+
zit niet op de juiste plek op het moment,=
naar persoon,-
neutraal,=
"niet zonder fouten, maar doet zijn best",+
heeft onaardige uitstraling,-
niet capabel voor huidige functie,-
Communicatief niet vaardig,-
laat geen indruk achter,-
Ken ik niet goed,=
treedt/trad niet daadkrachtig op,+
1,
Ken hem niet,=
niet daadkrachtig,-
geen charisma,-
komt zelfverzekerd over,+
weet wat hij doet,+
weeknie,=
"oneerlijk,zegt dat ie dingen doet",-
weet niet waar hij mee bezig is,-
kwestie iran zegt genoeg denk ik,=
"ondeskundig als politicus, echte wetenschapper",-
2,
wisselende resultaten,=
weet ik te weinig van,=
"hypocriet, incapabel",-
Hard werkend maar moeizaam,=
ken ik niet zo goed,=
Oetl..,=
twijfelend,-
degelijk,+
ken ik nog te kort,=
ken ik niet,=
ken ik niet goed genoeg,=
3,
beetje onbetrouwbaar,-
is veel te licht voor een ministersfunct,-
te weinig betrokken,-
huiskamergeleerde,=
is een politicus van de oude stempel,=
Viel door de mand,-
gladde aal,-
doet erg zijn best,+
ongeschikt minister,-
betrouwbaar & betrokken,+
een beetje sukkelig,-
"onzeker, onduidelijk",-
komt betrouwbaar over,+
4,
sympathieke man,+
Heeft geen uitstraling,-
miskleunt  maar door,-
Ken ik allen van naam,=
lijkt niet erg bekwaam,-
bjzondere man,+
ken ik niet zo goed,=
glibbert,-
onbetrouwbaar,-
slap figuur,-
niet een echt gevoel over,=
geen idee,=
geen sterke performance,-
heb nog geen gefundeerde mening over hem,=
Van deze meneer verwacht ik veel positiefs,=
